Synthetic_ID,Department,Years_of_Experience,Overtime_Hours,Absenteeism_Days,Patient_Load,Workdays_per_Month,Previous_Satisfaction_Rating,Overtime_Ratio,Workload_Intensity,Shift_Duration_Hours,Primary_Shift_Type,Scheduling_Assignments,Weekend_Work_Frequency,Consecutive_Assignments,Consecutive_Work_Days,Consecutive_Days_Off,Skill_Diversity,Contract_Flexibility,INRC_Shift_Pattern,INRC_Expected_Hours,Satisfaction_Score,Workload_Complexity,Scheduling_Stress_Index,Work_Life_Balance_Score,Skill_Utilization,Shift_Pattern_Consistency,Duration_Alignment,Scheduling_Harmony_Score
SYNTH_00010,Pediatrics,12,14,3,12,16,2.51,1.166666569444453,0.5333333333333333,12,Late,0,0,0,0,5,2.0,HalfTime,Day,8,1.81,0.0,0.4666666277777812,5.0,200.0,0,0,1.3833333430555548
SYNTH_00011,Pediatrics,2,7,1,17,28,3.41,0.8749998906250137,0.9333333333333332,8,Early,0,0,3,3,0,0.0,0,Day,8,2.58,0.0,0.4785713848214341,0.0,0.0,0,1,0.38035715379464147
SYNTH_00012,Pediatrics,4,11,3,17,16,1.32,1.099999890000011,0.5333333333333333,10,Day,0,0,2,4,0,1.0,FullTime,Night,12,1.16,0.0,0.6114285274285758,0.0,100.0,0,0,0.09714286814285605
SYNTH_00013,Pediatrics,17,17,3,5,17,3.73,1.6999998300000172,0.5666666666666667,10,Day,0,0,1,3,0,1.0,PartTime,Day,8,2.9,0.0,0.8085713605714355,0.0,100.0,1,0,0.2978571598571411
SYNTH_00014,General Medicine,4,14,3,10,29,4.73,1.166666569444453,0.9666666666666668,12,Late,0,0,1,5,0,2.0,HalfTime,Day,8,3.17,0.0,0.6809523420634954,0.0,200.0,0,0,0.07976191448412615
SYNTH_00015,ER,11,16,1,23,26,3.3,1.9999997500000315,0.8666666666666667,8,Early,0,0,0,0,2,1.0,HalfTime,Day,8,1.91,0.0,0.7999999000000126,2.0,100.0,0,1,0.8000000249999968
SYNTH_00016,General Medicine,4,13,2,20,26,1.5,1.083333243055563,0.8666666666666667,12,Late,0,0,1,3,0,0.0,0,Early,8,4.86,0.0,0.5619047257936538,0.0,0.0,0,0,0.10952381855158655
SYNTH_00017,General Medicine,1,13,1,12,17,3.33,1.6249997968750256,0.5666666666666667,8,Early,0,0,0,0,4,2.0,HalfTime,Day,8,4.64,0.0,0.6499999187500103,4.0,200.0,0,1,1.3375000203124974
SYNTH_00018,General Medicine,7,17,2,5,15,4.07,1.6999998300000172,0.5,10,Day,0,0,0,0,2,1.0,PartTime,Day,8,3.89,0.0,0.679999932000007,2.0,100.0,1,0,0.8300000169999983
SYNTH_00019,Pediatrics,18,19,2,20,29,2.63,1.899999810000019,0.9666666666666668,10,Day,0,0,0,0,4,0.0,0,Day,8,3.13,0.0,0.7599999240000077,4.0,0.0,1,0,1.310000018999998
SYNTH_00020,ICU,9,17,3,13,28,4.52,1.6999998300000172,0.9333333333333332,10,Day,0,0,0,0,2,2.0,HalfTime,Day,8,4.48,0.0,0.679999932000007,2.0,200.0,1,0,0.8300000169999983
SYNTH_00021,ER,3,15,1,17,17,3.59,1.4999998500000151,0.5666666666666667,10,Day,0,0,3,3,0,1.0,PartTime,Late,8,1.52,0.0,0.7285713685714347,0.0,100.0,0,0,0.06785715785714133
SYNTH_00022,ICU,8,0,2,15,20,4.6,0.0,0.6666666666666666,12,Late,0,0,0,0,5,0.0,0,Day,8,4.16,0.0,0.0,5.0,0.0,0,0,1.5
SYNTH_00023,General Medicine,19,10,4,17,22,3.49,1.2499998437500195,0.7333333333333333,8,Early,0,0,0,0,2,2.0,FullTime,Day,8,1.5,0.0,0.4999999375000078,2.0,200.0,0,1,0.8750000156249981
SYNTH_00024,General Medicine,4,14,2,14,27,1.53,1.7499997812500274,0.9,8,Early,0,0,0,0,3,0.0,0,Day,8,4.18,0.0,0.699999912500011,3.0,0.0,0,1,1.0750000218749973
SYNTH_00025,ICU,18,11,4,8,26,2.24,0.9166665902777842,0.8666666666666667,12,Late,0,0,0,0,2,1.0,HalfTime,Day,8,2.1,0.0,0.3666666361111137,2.0,100.0,0,0,0.6583333409722216
SYNTH_00026,ICU,11,7,1,10,28,1.81,0.8749998906250137,0.9333333333333332,8,Early,0,0,1,3,0,2.0,FullTime,Early,8,4.51,0.0,0.4785713848214341,0.0,200.0,1,1,0.6303571537946415
SYNTH_00027,ICU,14,19,1,11,24,4.64,1.899999810000019,0.8,10,Day,0,0,0,0,2,1.0,HalfTime,Day,8,4.78,0.0,0.7599999240000077,2.0,100.0,1,0,0.8100000189999981
SYNTH_00028,General Medicine,18,5,1,9,20,4.04,0.6249999218750099,0.6666666666666666,8,Early,0,0,0,0,1,1.0,FullTime,Day,8,1.6,0.0,0.24999996875000396,1.0,100.0,0,1,0.687500007812499
SYNTH_00029,General Medicine,16,2,2,15,19,3.71,0.199999980000002,0.6333333333333333,10,Day,0,0,3,3,0,0.0,0,Late,8,2.85,0.0,0.20857142057142936,0.0,0.0,0,0,0.19785714485714267
SYNTH_00030,ER,3,12,0,17,29,2.2,0.9999999166666736,0.9666666666666668,12,Late,0,0,4,4,0,1.0,FullTime,Late,8,4.92,0.0,0.5714285380952409,0.0,100.0,1,0,0.3571428654761898
SYNTH_00031,ER,15,12,2,23,18,1.74,1.4999998125000236,0.6,8,Early,0,0,0,0,2,2.0,20Percent,Day,8,2.93,0.0,0.5999999250000094,2.0,200.0,0,1,0.8500000187499976
SYNTH_00032,General Medicine,4,1,2,14,17,4.03,0.0833333263888894,0.5666666666666667,12,Late,0,0,0,0,2,2.0,HalfTime,Day,8,4.45,0.0,0.03333333055555576,2.0,200.0,0,0,0.7416666673611111
SYNTH_00033,ICU,5,4,3,14,27,2.9,0.4999999375000079,0.9,8,Early,0,0,0,0,2,2.0,HalfTime,Day,8,3.35,0.0,0.19999997500000316,2.0,200.0,0,1,0.9500000062499991
SYNTH_00034,ICU,17,16,3,15,18,1.9,1.5999998400000162,0.6,10,Day,0,0,1,3,0,1.0,20Percent,Early,8,2.5,0.0,0.768571364571435,0.0,100.0,0,0,0.05785715885714124
SYNTH_00035,ER,7,5,2,11,28,3.47,0.4166666319444473,0.9333333333333332,12,Late,0,0,0,0,5,1.0,HalfTime,Day,8,2.14,0.0,0.16666665277777892,5.0,100.0,0,0,1.4583333368055553
SYNTH_00036,General Medicine,16,1,4,22,21,1.16,0.1249999843750019,0.7,8,Early,0,0,3,3,0,2.0,PartTime,Late,8,1.81,0.0,0.1785714223214293,0.0,200.0,0,1,0.4553571444196427
SYNTH_00037,ER,14,3,3,8,15,2.3,0.299999970000003,0.5,10,Day,0,0,2,4,0,0.0,0,Night,12,4.05,0.0,0.2914285594285726,0.0,0.0,0,0,0.17714286014285685
SYNTH_00038,ER,16,10,2,6,21,2.87,0.8333332638888947,0.7,12,Late,0,0,4,4,0,0.0,0,Late,8,2.55,0.0,0.5047618769841293,0.0,0.0,1,0,0.37380953075396767
SYNTH_00039,Pediatrics,7,7,0,18,15,1.59,0.5833332847222263,0.5,12,Late,0,0,0,0,2,1.0,PartTime,Day,8,3.05,0.0,0.23333331388889056,2.0,100.0,0,0,0.6916666715277774
SYNTH_00040,Pediatrics,9,11,4,17,16,4.94,1.3749998281250215,0.5333333333333333,8,Early,0,0,0,0,2,2.0,PartTime,Day,8,2.97,0.0,0.5499999312500087,2.0,200.0,0,1,0.8625000171874978
SYNTH_00041,Pediatrics,4,7,1,16,29,1.84,0.8749998906250137,0.9666666666666668,8,Early,0,0,3,3,0,0.0,0,Late,8,3.31,0.0,0.4785713848214341,0.0,0.0,0,1,0.38035715379464147
SYNTH_00042,ICU,11,10,2,11,18,1.52,1.2499998437500195,0.6,8,Early,0,0,1,4,0,1.0,FullTime,Early,8,4.46,0.0,0.6714285089285792,0.0,100.0,1,1,0.5821428727678553
SYNTH_00043,General Medicine,2,19,2,6,15,1.81,1.899999810000019,0.5,10,Day,0,0,4,4,0,2.0,FullTime,Early,8,4.92,0.0,0.9314284954285791,0.0,200.0,0,0,0.01714287614285523
SYNTH_00044,General Medicine,12,7,4,17,25,4.08,0.8749998906250137,0.8333333333333334,8,Early,0,0,2,2,0,0.0,0,Early,8,2.63,0.0,0.4357142419642912,0.0,0.0,1,1,0.6410714395089272
SYNTH_00045,General Medicine,12,7,3,18,26,2.7,0.5833332847222263,0.8666666666666667,12,Late,0,0,0,0,2,1.0,PartTime,Day,8,4.31,0.0,0.23333331388889056,2.0,100.0,0,0,0.6916666715277774
SYNTH_00046,General Medicine,4,16,3,21,25,3.26,1.3333332222222316,0.8333333333333334,12,Late,0,0,1,1,0,0.0,0,Late,8,4.06,0.0,0.5761904317460355,0.0,0.0,1,0,0.35595239206349116
SYNTH_00047,Pediatrics,18,19,3,13,29,1.08,2.374999703125037,0.9666666666666668,8,Early,0,0,0,0,2,2.0,HalfTime,Day,8,3.29,0.0,0.9499998812500149,2.0,200.0,0,1,0.7625000296874963
SYNTH_00048,ICU,7,19,1,21,25,1.14,2.374999703125037,0.8333333333333334,8,Early,0,0,0,0,2,2.0,PartTime,Day,8,4.82,0.0,0.9499998812500149,2.0,200.0,0,1,0.7625000296874963
SYNTH_00049,ICU,1,15,4,12,23,2.78,1.249999895833342,0.7666666666666667,12,Late,0,0,0,0,4,0.0,0,Day,8,1.8,0.0,0.4999999583333368,4.0,0.0,0,0,1.1250000104166658
SYNTH_00050,Pediatrics,13,13,4,6,26,4.27,1.299999870000013,0.8666666666666667,10,Day,0,0,1,3,0,2.0,HalfTime,Day,8,1.44,0.0,0.6485713765714338,0.0,200.0,1,0,0.33785715585714154
SYNTH_00051,ICU,6,10,3,17,20,4.54,1.2499998437500195,0.6666666666666666,8,Early,0,0,3,3,0,1.0,PartTime,Night,12,4.42,0.0,0.6285713660714364,0.0,100.0,0,0,0.0928571584821409
SYNTH_00052,Pediatrics,6,6,3,7,27,1.35,0.7499999062500118,0.9,8,Early,0,0,1,4,0,1.0,FullTime,Early,8,2.76,0.0,0.4714285339285761,0.0,100.0,1,1,0.632142866517856
SYNTH_00053,General Medicine,12,15,0,20,15,3.15,1.249999895833342,0.5,12,Late,0,0,0,0,2,1.0,FullTime,Day,8,4.39,0.0,0.4999999583333368,2.0,100.0,0,0,0.6250000104166658
SYNTH_00054,Pediatrics,8,12,0,10,15,4.65,1.4999998125000236,0.5,8,Early,0,0,2,2,0,2.0,PartTime,Day,8,4.57,0.0,0.6857142107142952,0.0,200.0,0,1,0.3285714473214262
SYNTH_00055,General Medicine,19,14,2,23,20,2.55,1.399999860000014,0.6666666666666666,10,Day,0,0,2,4,0,1.0,FullTime,Night,12,1.25,0.0,0.731428515428577,0.0,100.0,0,0,0.06714287114285575
SYNTH_00056,General Medicine,5,15,2,11,18,4.32,1.249999895833342,0.6,12,Late,0,0,4,4,0,2.0,FullTime,Early,8,4.53,0.0,0.6714285297619083,0.0,200.0,0,0,0.08214286755952294
SYNTH_00057,ER,18,8,4,14,18,1.53,0.9999998750000156,0.6,8,Early,0,0,2,4,0,1.0,HalfTime,Night,12,2.79,0.0,0.5714285214285777,0.0,100.0,0,0,0.10714286964285558
SYNTH_00058,Pediatrics,5,2,4,13,29,4.74,0.1666666527777789,0.9666666666666668,12,Late,0,0,0,0,2,1.0,HalfTime,Day,8,3.04,0.0,0.06666666111111157,2.0,100.0,0,0,0.7333333347222222
SYNTH_00059,ER,10,18,1,6,25,4.01,2.249999718750036,0.8333333333333334,8,Early,0,0,0,0,2,1.0,FullTime,Day,8,3.51,0.0,0.8999998875000144,2.0,100.0,0,1,0.7750000281249965
SYNTH_00060,Pediatrics,1,19,1,19,29,4.77,2.374999703125037,0.9666666666666668,8,Early,0,0,0,0,3,1.0,HalfTime,Day,8,4.71,0.0,0.9499998812500149,3.0,100.0,0,1,1.0125000296874962
SYNTH_00061,Pediatrics,10,4,0,9,20,3.71,0.4999999375000079,0.6666666666666666,8,Early,0,0,0,0,3,1.0,FullTime,Day,8,1.08,0.0,0.19999997500000316,3.0,100.0,0,1,1.2000000062499991
SYNTH_00062,ER,5,9,2,8,29,2.45,0.8999999100000091,0.9666666666666668,10,Day,0,0,0,0,4,2.0,PartTime,Day,8,2.91,0.0,0.35999996400000367,4.0,200.0,1,0,1.410000008999999
SYNTH_00063,ER,12,16,0,24,28,4.75,1.5999998400000162,0.9333333333333332,10,Day,0,0,0,0,3,1.0,HalfTime,Day,8,3.75,0.0,0.6399999360000065,3.0,100.0,1,0,1.0900000159999983
SYNTH_00064,Pediatrics,7,14,0,8,26,2.1,1.166666569444453,0.8666666666666667,12,Late,0,0,0,0,2,0.0,0,Day,8,3.89,0.0,0.4666666277777812,2.0,0.0,0,0,0.6333333430555548
SYNTH_00065,ICU,9,7,2,22,25,2.33,0.8749998906250137,0.8333333333333334,8,Early,0,0,0,0,2,1.0,HalfTime,Day,8,3.77,0.0,0.3499999562500055,2.0,100.0,0,1,0.9125000109374986
SYNTH_00066,General Medicine,12,14,1,8,21,3.8,1.7499997812500274,0.7,8,Early,0,0,0,0,2,1.0,PartTime,Day,8,1.54,0.0,0.699999912500011,2.0,100.0,0,1,0.8250000218749972
SYNTH_00067,ER,1,13,2,21,23,4.06,1.299999870000013,0.7666666666666667,10,Day,0,0,2,2,0,2.0,FullTime,Late,8,2.2,0.0,0.605714233714291,0.0,200.0,0,0,0.09857144157142725
SYNTH_00068,General Medicine,11,19,3,16,24,4.72,2.374999703125037,0.8,8,Early,0,0,2,2,0,2.0,HalfTime,Day,8,2.43,0.0,1.0357141669643006,0.0,200.0,0,1,0.25
SYNTH_00069,ICU,15,6,3,21,19,1.82,0.599999940000006,0.6333333333333333,10,Day,0,0,0,0,5,2.0,HalfTime,Day,8,4.22,0.0,0.23999997600000242,5.0,200.0,1,0,1.6900000059999993
SYNTH_00070,ICU,2,11,3,14,23,4.19,1.3749998281250215,0.7666666666666667,8,Early,0,0,0,0,6,0.0,0,Day,8,2.12,0.0,0.5499999312500087,6.0,0.0,0,1,1.862500017187498
SYNTH_00071,ICU,7,16,4,5,18,3.95,1.3333332222222316,0.6,12,Late,0,0,1,3,0,2.0,PartTime,Early,8,1.84,0.0,0.6619047174603212,0.0,200.0,0,0,0.0845238206349197
SYNTH_00072,ER,12,16,1,22,27,1.26,1.9999997500000315,0.9,8,Early,0,0,0,0,2,2.0,FullTime,Day,8,4.83,0.0,0.7999999000000126,2.0,200.0,0,1,0.8000000249999968
SYNTH_00073,ICU,18,9,1,22,24,2.55,1.1249998593750177,0.8,8,Early,0,0,0,0,4,1.0,PartTime,Day,8,1.04,0.0,0.44999994375000707,4.0,100.0,0,1,1.3875000140624982
SYNTH_00074,ER,3,18,4,18,16,2.13,1.7999998200000182,0.5333333333333333,10,Day,0,0,1,4,0,2.0,FullTime,Day,8,4.99,0.0,0.8914284994285787,0.0,200.0,1,0,0.2771428751428553
SYNTH_00075,ICU,7,13,0,19,17,2.22,1.6249997968750256,0.5666666666666667,8,Early,0,0,3,3,0,1.0,PartTime,Night,12,3.71,0.0,0.7785713473214388,0.0,100.0,0,0,0.05535716316964029
SYNTH_00076,General Medicine,11,10,3,16,27,4.93,1.2499998437500195,0.9,8,Early,0,0,0,0,3,2.0,HalfTime,Day,8,4.31,0.0,0.4999999375000078,3.0,200.0,0,1,1.125000015624998
SYNTH_00077,General Medicine,18,1,3,8,25,3.57,0.099999990000001,0.8333333333333334,10,Day,0,0,2,4,0,1.0,FullTime,Night,12,2.18,0.0,0.2114285674285718,0.0,100.0,0,0,0.19714285814285704
SYNTH_00078,Pediatrics,12,17,0,7,15,3.87,1.416666548611121,0.5,12,Late,0,0,0,0,2,1.0,20Percent,Day,8,1.06,0.0,0.5666666194444484,2.0,100.0,0,0,0.6083333451388879
SYNTH_00079,General Medicine,6,6,2,24,28,4.91,0.4999999583333368,0.9333333333333332,12,Late,0,0,2,5,0,1.0,FullTime,Night,12,3.95,0.0,0.414285697619049,0.0,100.0,0,1,0.39642857559523775
SYNTH_00080,Pediatrics,5,11,2,16,28,2.51,1.099999890000011,0.9333333333333332,10,Day,0,0,0,0,3,2.0,PartTime,Day,8,4.34,0.0,0.4399999560000044,3.0,200.0,1,0,1.1400000109999988
SYNTH_00081,General Medicine,1,1,1,11,20,4.21,0.099999990000001,0.6666666666666666,10,Day,0,0,0,0,4,2.0,HalfTime,Day,8,3.96,0.0,0.0399999960000004,4.0,200.0,1,0,1.4900000009999999
SYNTH_00082,ER,12,19,4,15,27,2.74,1.899999810000019,0.9,10,Day,0,0,1,4,0,2.0,FullTime,Late,8,1.57,0.0,0.9314284954285791,0.0,200.0,0,0,0.01714287614285523
SYNTH_00083,General Medicine,11,17,1,5,20,4.48,1.6999998300000172,0.6666666666666666,10,Day,0,0,0,0,2,2.0,FullTime,Day,8,4.01,0.0,0.679999932000007,2.0,200.0,1,0,0.8300000169999983
SYNTH_00084,Pediatrics,4,5,2,10,15,1.72,0.499999950000005,0.5,10,Day,0,0,0,0,5,1.0,HalfTime,Day,8,4.08,0.0,0.19999998000000202,5.0,100.0,1,0,1.7000000049999995
SYNTH_00085,Pediatrics,18,9,0,19,25,4.79,0.7499999375000053,0.8333333333333334,12,Late,0,0,0,0,4,3.0,PartTime,Day,8,3.63,0.0,0.29999997500000214,4.0,300.0,0,0,1.1750000062499995
SYNTH_00086,ICU,4,19,1,19,27,1.88,1.5833332013889,0.9,12,Late,0,0,2,2,0,1.0,PartTime,Late,8,4.06,0.0,0.7190475662698458,0.0,100.0,1,0,0.3202381084325385
SYNTH_00087,ER,17,14,3,23,17,2.3,1.399999860000014,0.5666666666666667,10,Day,0,0,0,0,2,2.0,HalfTime,Day,8,4.38,0.0,0.5599999440000056,2.0,200.0,1,0,0.8600000139999986
SYNTH_00088,General Medicine,2,4,3,15,19,4.02,0.4999999375000079,0.6333333333333333,8,Early,0,0,0,0,2,0.0,0,Day,8,3.45,0.0,0.19999997500000316,2.0,0.0,0,1,0.9500000062499991
SYNTH_00089,ICU,2,19,0,6,17,2.58,1.899999810000019,0.5666666666666667,10,Day,0,0,0,0,2,0.0,0,Day,8,1.35,0.0,0.7599999240000077,2.0,0.0,1,0,0.8100000189999981
SYNTH_00090,General Medicine,12,2,2,18,24,3.43,0.2499999687500039,0.8,8,Early,0,0,2,2,0,0.0,0,Day,8,2.95,0.0,0.18571427321428727,0.0,0.0,0,1,0.4535714316964282
SYNTH_00091,General Medicine,6,4,3,6,17,2.78,0.399999960000004,0.5666666666666667,10,Day,0,0,0,0,3,1.0,FullTime,Day,8,1.31,0.0,0.1599999840000016,3.0,100.0,1,0,1.2100000039999996
SYNTH_00092,ICU,10,7,3,8,28,3.97,0.699999930000007,0.9333333333333332,10,Day,0,0,0,0,5,2.0,HalfTime,Day,8,2.63,0.0,0.2799999720000028,5.0,200.0,1,0,1.6800000069999994
SYNTH_00093,ICU,16,7,4,21,24,1.91,0.5833332847222263,0.8,12,Late,0,0,0,0,3,1.0,HalfTime,Day,8,2.63,0.0,0.23333331388889056,3.0,100.0,0,0,0.9416666715277774
SYNTH_00094,ICU,14,7,1,7,17,1.23,0.8749998906250137,0.5666666666666667,8,Early,0,0,0,0,2,2.0,FullTime,Day,8,1.26,0.0,0.3499999562500055,2.0,200.0,0,1,0.9125000109374986
SYNTH_00095,ICU,7,11,2,17,19,2.2,1.3749998281250215,0.6333333333333333,8,Early,0,0,0,0,2,0.0,0,Day,8,2.4,0.0,0.5499999312500087,2.0,0.0,0,1,0.8625000171874978
SYNTH_00096,ICU,19,7,1,13,27,2.9,0.5833332847222263,0.9,12,Late,0,0,0,0,2,1.0,HalfTime,Day,8,1.44,0.0,0.23333331388889056,2.0,100.0,0,0,0.6916666715277774
SYNTH_00097,General Medicine,17,10,2,11,19,1.67,0.8333332638888947,0.6333333333333333,12,Late,0,0,3,3,0,1.0,HalfTime,Night,12,4.23,0.0,0.46190473412698646,0.0,100.0,0,1,0.3845238164682534
SYNTH_00098,ICU,9,13,3,19,18,2.42,1.083333243055563,0.6,12,Late,0,0,2,4,0,1.0,HalfTime,Night,12,4.79,0.0,0.6047618686507966,0.0,100.0,0,1,0.3488095328373009
SYNTH_00099,ER,13,7,4,15,15,2.6,0.5833332847222263,0.5,12,Late,0,0,2,2,0,1.0,PartTime,Early,8,1.29,0.0,0.31904759960317625,0.0,100.0,0,0,0.17023810009920592
SYNTH_00100,Pediatrics,5,9,1,24,19,1.23,1.1249998593750177,0.6333333333333333,8,Early,0,0,0,0,2,1.0,FullTime,Day,8,4.82,0.0,0.44999994375000707,2.0,100.0,0,1,0.8875000140624982
SYNTH_00101,ICU,5,6,3,6,24,3.33,0.7499999062500118,0.8,8,Early,0,0,0,0,3,1.0,PartTime,Day,8,3.09,0.0,0.2999999625000047,3.0,100.0,0,1,1.1750000093749988
SYNTH_00102,ICU,10,16,2,19,19,4.54,1.5999998400000162,0.6333333333333333,10,Day,0,0,0,0,2,2.0,HalfTime,Day,8,2.2,0.0,0.6399999360000065,2.0,200.0,1,0,0.8400000159999984
SYNTH_00103,General Medicine,10,3,1,18,18,1.61,0.299999970000003,0.6,10,Day,0,0,2,2,0,2.0,PartTime,Early,8,1.31,0.0,0.2057142737142869,0.0,200.0,0,0,0.19857143157142826
SYNTH_00104,ICU,7,12,1,24,20,3.39,0.9999999166666736,0.6666666666666666,12,Late,0,0,3,3,0,2.0,PartTime,Day,8,3.0,0.0,0.528571395238098,0.0,200.0,0,0,0.11785715119047549
SYNTH_00105,ICU,15,3,3,15,24,3.66,0.2499999791666684,0.8,12,Late,0,0,0,0,4,1.0,HalfTime,Day,8,4.18,0.0,0.09999999166666737,4.0,100.0,0,0,1.2250000020833332
SYNTH_00106,ICU,7,4,1,7,18,2.68,0.3333333055555579,0.6,12,Late,0,0,0,0,2,0.0,0,Day,8,3.83,0.0,0.13333332222222316,2.0,0.0,0,0,0.7166666694444442
SYNTH_00107,General Medicine,15,3,4,21,28,3.8,0.299999970000003,0.9333333333333332,10,Day,0,0,0,0,2,0.0,0,Day,8,1.2,0.0,0.11999998800000121,2.0,0.0,1,0,0.9700000029999997
SYNTH_00108,ICU,3,17,4,16,21,2.64,1.6999998300000172,0.7,10,Day,0,0,0,0,2,1.0,20Percent,Day,8,1.29,0.0,0.679999932000007,2.0,100.0,1,0,0.8300000169999983
SYNTH_00109,Pediatrics,19,5,3,19,21,3.02,0.499999950000005,0.7,10,Day,0,0,4,4,0,1.0,PartTime,Day,8,2.61,0.0,0.37142855142857345,0.0,100.0,1,0,0.40714286214285667
SYNTH_00110,General Medicine,10,1,2,20,16,1.03,0.099999990000001,0.5333333333333333,10,Day,0,0,1,4,0,1.0,FullTime,Night,12,2.18,0.0,0.2114285674285718,0.0,100.0,0,0,0.19714285814285704
SYNTH_00111,Pediatrics,15,10,3,9,17,3.77,0.99999990000001,0.5666666666666667,10,Day,0,0,1,4,0,0.0,0,Early,8,1.93,0.0,0.5714285314285754,0.0,0.0,0,0,0.10714286714285615
SYNTH_00112,General Medicine,3,13,4,24,15,3.65,1.299999870000013,0.5,10,Day,0,0,0,0,2,0.0,0,Day,8,2.12,0.0,0.5199999480000053,2.0,0.0,1,0,0.8700000129999987
SYNTH_00113,ICU,6,4,0,10,22,1.15,0.399999960000004,0.7333333333333333,10,Day,0,0,0,0,3,2.0,HalfTime,Day,8,4.21,0.0,0.1599999840000016,3.0,200.0,1,0,1.2100000039999996
SYNTH_00114,Pediatrics,12,5,0,23,23,2.47,0.4166666319444473,0.7666666666666667,12,Late,0,0,2,2,0,2.0,PartTime,Night,12,4.72,0.0,0.2523809384920646,0.0,200.0,0,1,0.43690476537698386
SYNTH_00115,General Medicine,15,9,1,9,18,4.92,0.7499999375000053,0.6,12,Late,0,0,2,2,0,2.0,HalfTime,Late,8,2.62,0.0,0.3857142607142878,0.0,200.0,1,0,0.40357143482142804
SYNTH_00116,ER,6,7,1,7,20,2.68,0.5833332847222263,0.6666666666666666,12,Late,0,0,0,0,2,1.0,PartTime,Day,8,4.62,0.0,0.23333331388889056,2.0,100.0,0,0,0.6916666715277774
SYNTH_00117,ICU,13,13,0,5,23,3.01,1.083333243055563,0.7666666666666667,12,Late,0,0,0,0,3,0.0,0,Day,8,2.29,0.0,0.43333329722222524,3.0,0.0,0,0,0.8916666756944437
SYNTH_00118,General Medicine,19,2,4,10,20,4.64,0.199999980000002,0.6666666666666666,10,Day,0,0,0,0,2,1.0,20Percent,Day,8,2.91,0.0,0.0799999920000008,2.0,100.0,1,0,0.9800000019999998
SYNTH_00119,ER,3,11,1,19,28,3.87,1.3749998281250215,0.9333333333333332,8,Early,0,0,0,0,2,2.0,FullTime,Day,8,1.9,0.0,0.5499999312500087,2.0,200.0,0,1,0.8625000171874978
SYNTH_00120,General Medicine,8,15,3,6,26,3.33,1.4999998500000151,0.8666666666666667,10,Day,0,0,1,5,0,2.0,PartTime,Night,12,3.56,0.0,0.8142856542857204,0.0,200.0,0,0,0.046428586428569896
